Team1,Team2,Winner,Margin,Ground,Match Date,T-20 Int Match,Team1 Avg Batting Ranking,Team2 Avg Batting Ranking,Team1 Avg Bowling Ranking,Team2 Avg Bowling Ranking,Team1 Total WCs participated,Team1 Total WCs won,Team2 Total WCs participated,Team2 Total WCs won,Team1 win % over Team2
India,Pakistan,India,5 runs,Johannesburg,2007/09/24,T20I # 46,67.13,65.87,80.67,63.4,0,0,0,0,100.0
Australia,India,India,15 runs,Durban,2007/09/22,T20I # 45,66.54,70.2,58.77,82.4,0,0,0,0,0.0
New Zealand,Pakistan,Pakistan,6 wickets,Cape Town,2007/09/22,T20I # 44,66.07,67.2,68.6,66.6,0,0,0,0,0.0
South Africa,India,India,37 runs,Durban,2007/09/20,T20I # 43,69.53,75.67,76.93,86.33,0,0,0,0,0.0
Bangladesh,Pakistan,Pakistan,4 wickets,Cape Town,2007/09/20,T20I # 42,75.53,69.67,70.6,68.33,0,0,0,0,0.0
Australia,Sri Lanka,Australia,10 wickets,Cape Town,2007/09/20,T20I # 41,67.38,72.07,59.54,73.53,0,0,0,0,0.0
England,India,India,18 runs,Durban,2007/09/19,T20I # 40,65.87,81.53,73.27,88.8,0,0,0,0,50.0
South Africa,New Zealand,South Africa,6 wickets,Durban,2007/09/19,T20I # 39,70.8,65.73,74.93,69.6,0,0,0,0,0.0
Bangladesh,Sri Lanka,Sri Lanka,64 runs,Johannesburg,2007/09/18,T20I # 38,73.53,72.4,72.33,72.13,0,0,0,0,0.0
Australia,Pakistan,Pakistan,6 wickets,Johannesburg,2007/09/18,T20I # 37,66.85,69.27,59.15,69.07,0,0,0,0,0.0
England,New Zealand,New Zealand,5 runs,Durban,2007/09/18,T20I # 36,69.53,66.4,69.2,72.33,0,0,0,0,0.0
Pakistan,Sri Lanka,Pakistan,33 runs,Johannesburg,2007/09/17,T20I # 35,70.07,74.13,74.07,74.87,0,0,0,0,0.0
South Africa,England,South Africa,19 runs,Cape Town,2007/09/16,T20I # 34,71.67,70.07,75.4,69.8,0,0,0,0,0.0
Australia,Bangladesh,Australia,9 wickets,Cape Town,2007/09/16,T20I # 33,65.46,72.47,60.08,71.4,0,0,0,0,0.0
India,New Zealand,New Zealand,10 runs,Johannesburg,2007/09/16,T20I # 32,87.0,70.33,90.2,75.2,0,0,0,0,0.0
South Africa,Bangladesh,South Africa,7 wickets,Cape Town,2007/09/15,T20I # 31,72.07,73.2,81.0,72.4,0,0,0,0,0.0
New Zealand,Sri Lanka,Sri Lanka,7 wickets,Johannesburg,2007/09/15,T20I # 30,75.4,74.27,82.73,77.07,0,0,0,0,50.0
India,Pakistan,tied,-,Durban,2007/09/14,T20I # 29,95.13,67.0,97.4,73.27,0,0,0,0,0.0
Australia,England,Australia,8 wickets,Cape Town,2007/09/14,T20I # 28,64.62,72.6,61.54,69.73,0,0,0,0,50.0
Kenya,Sri Lanka,Sri Lanka,172 runs,Johannesburg,2007/09/14,T20I # 27,89.13,83.8,88.73,81.6,0,0,0,0,0.0
India,Scotland,no result,-,Durban,2007/09/13,T20I # 26,94.93,95.33,97.8,95.6,0,0,0,0,0.0
England,Zimbabwe,England,50 runs,Cape Town,2007/09/13,T20I # 25,73.53,84.53,76.07,82.8,0,0,0,0,0.0
Bangladesh,West Indies,Bangladesh,6 wickets,Johannesburg,2007/09/13,T20I # 24,74.53,69.13,75.87,68.4,0,0,0,0,0.0
Australia,Zimbabwe,Zimbabwe,5 wickets,Cape Town,2007/09/12,T20I # 23,66.15,92.8,62.0,93.0,0,0,0,0,0.0
Pakistan,Scotland,Pakistan,51 runs,Durban,2007/09/12,T20I # 22,68.8,101.0,77.07,101.0,0,0,0,0,0.0
Kenya,New Zealand,New Zealand,9 wickets,Durban,2007/09/12,T20I # 21,86.4,71.53,84.73,82.4,0,0,0,0,0.0
South Africa,West Indies,South Africa,8 wickets,Johannesburg,2007/09/11,T20I # 20,71.67,65.87,80.33,70.67,0,0,0,0,0.0
Pakistan,Sri Lanka,Pakistan,8 wickets,Lord's,2009/06/21,T20I # 116,75.2,80.67,67.67,75.07,1,0,1,0,66.6
Sri Lanka,West Indies,Sri Lanka,57 runs,The Oval,2009/06/19,T20I # 115,80.2,72.2,77.27,70.8,1,0,1,0,0.0
Pakistan,South Africa,Pakistan,7 runs,Nottingham,2009/06/18,T20I # 114,76.33,70.93,69.4,66.73,1,0,1,0,0.0
India,South Africa,South Africa,12 runs,Nottingham,2009/06/16,T20I # 113,70.67,71.2,71.27,68.2,1,1,1,0,100.0
New Zealand,Sri Lanka,Sri Lanka,48 runs,Nottingham,2009/06/16,T20I # 112,74.33,81.6,77.33,78.33,1,0,1,0,33.3
England,West Indies,West Indies,5 wickets,The Oval,2009/06/15,T20I # 111,74.93,71.0,69.13,73.13,1,0,1,0,33.3
Ireland,Pakistan,Pakistan,39 runs,The Oval,2009/06/15,T20I # 110,94.47,76.93,89.53,71.73,0,0,1,0,0.0
England,India,England,3 runs,Lord's,2009/06/14,T20I # 109,77.67,71.33,70.33,73.67,1,0,1,1,0.0
Ireland,Sri Lanka,Sri Lanka,9 runs,Lord's,2009/06/14,T20I # 108,96.87,81.2,92.8,79.2,0,0,1,0,0.0
New Zealand,Pakistan,Pakistan,6 wickets,The Oval,2009/06/13,T20I # 107,73.47,77.6,75.87,72.93,1,0,1,0,0.0
South Africa,West Indies,South Africa,20 runs,The Oval,2009/06/13,T20I # 106,72.0,70.8,70.4,72.47,1,0,1,0,66.6
India,West Indies,West Indies,7 wickets,Lord's,2009/06/12,T20I # 105,72.33,73.27,75.47,76.47,1,1,1,0,0.0
Pakistan,Sri Lanka,Sri Lanka,19 runs,Lord's,2009/06/12,T20I # 104,77.0,81.33,73.4,79.4,1,0,1,0,66.6
England,South Africa,South Africa,7 wickets,Nottingham,2009/06/11,T20I # 103,76.27,74.0,71.27,72.53,1,0,1,0,0.0
Ireland,New Zealand,New Zealand,83 runs,Nottingham,2009/06/11,T20I # 102,96.8,76.07,96.13,78.47,0,0,1,0,0.0
India,Ireland,India,8 wickets,Nottingham,2009/06/10,T20I # 101,71.73,96.33,75.07,96.8,1,1,0,0,0.0
Sri Lanka,West Indies,Sri Lanka,15 runs,Nottingham,2009/06/10,T20I # 100,80.47,78.47,79.8,77.33,1,0,1,0,0.0
New Zealand,South Africa,South Africa,1 run,Lord's,2009/06/09,T20I # 99,75.13,72.8,80.47,76.0,1,0,1,0,33.3
Netherlands,Pakistan,Pakistan,82 runs,Lord's,2009/06/09,T20I # 98,89.4,77.87,90.67,73.93,0,0,1,0,0.0
Australia,Sri Lanka,Sri Lanka,6 wickets,Nottingham,2009/06/08,T20I # 97,74.73,82.33,65.07,81.87,1,0,1,0,0.0
Bangladesh,Ireland,Ireland,6 wickets,Nottingham,2009/06/08,T20I # 96,94.0,101.0,80.53,98.27,1,0,0,0,0.0
England,Pakistan,England,48 runs,The Oval,2009/06/07,T20I # 95,76.6,77.47,72.2,74.73,1,0,1,0,0.0
Scotland,South Africa,South Africa,130 runs,The Oval,2009/06/07,T20I # 94,90.13,75.2,94.73,77.07,1,0,1,0,0.0
Bangladesh,India,India,25 runs,Nottingham,2009/06/06,T20I # 93,93.8,70.93,82.2,77.4,1,0,1,1,0.0
Australia,West Indies,West Indies,7 wickets,The Oval,2009/06/06,T20I # 92,74.73,79.33,65.4,79.93,1,0,1,0,0.0
New Zealand,Scotland,New Zealand,7 wickets,The Oval,2009/06/06,T20I # 91,73.53,92.67,77.0,94.6,1,0,1,0,0.0
England,Netherlands,Netherlands,4 wickets,Lord's,2009/06/05,T20I # 90,79.67,94.6,72.67,93.0,1,0,1,0,0.0
Australia,England,England,7 wickets,Bridgetown,2010/05/16,T20I # 177,70.73,70.4,74.0,75.2,2,0,2,0,50.0
Australia,Pakistan,Australia,3 wickets,Gros Islet,2010/05/14,T20I # 176,71.27,68.53,74.47,76.33,2,0,2,1,33.3
England,Sri Lanka,England,7 wickets,Gros Islet,2010/05/13,T20I # 175,72.33,76.67,76.8,76.93,2,0,2,0,0.0
West Indies,Australia,Australia,6 wickets,Gros Islet,2010/05/11,T20I # 174,82.07,71.27,72.33,75.73,2,0,2,0,50.0
India,Sri Lanka,Sri Lanka,5 wickets,Gros Islet,2010/05/11,T20I # 173,72.6,77.53,82.73,76.93,2,1,2,0,66.6
England,New Zealand,England,3 wickets,Gros Islet,2010/05/10,T20I # 172,73.53,70.2,79.47,64.13,2,0,2,0,75.0
Pakistan,South Africa,Pakistan,11 runs,Gros Islet,2010/05/10,T20I # 171,69.73,67.27,77.13,70.2,2,1,2,0,50.0
Australia,Sri Lanka,Australia,81 runs,Bridgetown,2010/05/09,T20I # 170,71.93,77.6,76.2,76.6,2,0,2,0,50.0
West Indies,India,West Indies,14 runs,Bridgetown,2010/05/09,T20I # 169,83.07,73.0,73.27,83.93,2,0,2,1,100.0
England,South Africa,England,39 runs,Bridgetown,2010/05/08,T20I # 168,74.73,66.27,81.87,71.4,2,0,2,0,25.0
New Zealand,Pakistan,New Zealand,1 run,Bridgetown,2010/05/08,T20I # 167,69.6,70.2,64.87,77.33,2,0,2,1,0.0
West Indies,Sri Lanka,Sri Lanka,57 runs,Bridgetown,2010/05/07,T20I # 166,83.8,77.27,73.27,77.27,2,0,2,0,0.0
Australia,India,Australia,49 runs,Bridgetown,2010/05/07,T20I # 165,72.47,73.47,76.73,84.8,2,0,2,1,33.3
New Zealand,South Africa,South Africa,13 runs,Bridgetown,2010/05/06,T20I # 164,69.87,66.47,65.13,72.93,2,0,2,0,25.0
England,Pakistan,England,6 wickets,Bridgetown,2010/05/06,T20I # 163,76.87,70.6,82.27,75.13,2,0,2,1,50.0
Afghanistan,South Africa,South Africa,59 runs,Bridgetown,2010/05/05,T20I # 162,97.2,66.6,96.6,74.07,0,0,2,0,0.0
Australia,Bangladesh,Australia,27 runs,Bridgetown,2010/05/05,T20I # 161,72.27,89.2,78.07,87.07,2,0,2,0,100.0
England,Ireland,no result,-,Providence,2010/05/04,T20I # 160,76.93,92.47,81.87,84.2,2,0,1,0,0.0
New Zealand,Zimbabwe,New Zealand,7 runs,Providence,2010/05/04,T20I # 159,69.07,89.0,65.33,90.07,2,0,1,0,0.0
West Indies,England,West Indies,8 wickets,Providence,2010/05/03,T20I # 158,83.93,78.07,74.33,81.13,2,0,2,0,75.0
Sri Lanka,Zimbabwe,Sri Lanka,14 runs,Providence,2010/05/03,T20I # 157,77.67,88.4,76.87,91.73,2,0,1,0,100.0
Australia,Pakistan,Australia,34 runs,Gros Islet,2010/05/02,T20I # 156,73.4,70.47,79.47,75.2,2,0,2,1,33.3
India,South Africa,India,14 runs,Gros Islet,2010/05/02,T20I # 155,76.07,66.6,85.0,74.47,2,1,2,0,66.6
Bangladesh,Pakistan,Pakistan,21 runs,Gros Islet,2010/05/01,T20I # 154,91.93,71.53,86.6,76.73,2,0,2,1,0.0
Afghanistan,India,India,7 wickets,Gros Islet,2010/05/01,T20I # 153,96.13,75.73,97.6,86.6,0,0,2,1,0.0
West Indies,Ireland,West Indies,70 runs,Providence,2010/04/30,T20I # 152,83.67,91.13,75.6,85.6,2,0,1,0,0.0
New Zealand,Sri Lanka,New Zealand,2 wickets,Providence,2010/04/30,T20I # 151,68.6,77.73,66.0,76.07,2,0,2,0,50.0
Sri Lanka,West Indies,West Indies,36 runs,Colombo (RPS),2012/10/07,T20I # 289,82.73,68.87,74.33,74.2,3,0,3,0,100.0
Australia,West Indies,West Indies,74 runs,Colombo (RPS),2012/10/05,T20I # 288,74.4,70.0,75.73,78.53,3,0,3,0,57.14
Sri Lanka,Pakistan,Sri Lanka,16 runs,Colombo (RPS),2012/10/04,T20I # 287,83.73,66.6,75.13,66.0,3,0,3,1,33.3
India,South Africa,India,1 run,Colombo (RPS),2012/10/02,T20I # 286,64.47,79.6,80.93,68.73,3,1,3,0,66.6
Australia,Pakistan,Pakistan,32 runs,Colombo (RPS),2012/10/02,T20I # 285,74.8,68.27,79.8,68.53,3,0,3,1,40.0
Sri Lanka,England,Sri Lanka,19 runs,Pallekele,2012/10/01,T20I # 284,84.8,81.67,75.47,72.0,3,0,3,1,100.0
New Zealand,West Indies,tied,-,Pallekele,2012/10/01,T20I # 283,72.27,70.67,72.07,81.4,3,0,3,0,20.0
India,Pakistan,India,8 wickets,Colombo (RPS),2012/09/30,T20I # 282,65.73,67.8,83.2,66.0,3,1,3,1,50.0
Australia,South Africa,Australia,8 wickets,Colombo (RPS),2012/09/30,T20I # 281,74.33,79.27,81.0,68.87,3,0,3,0,50.0
Sri Lanka,West Indies,Sri Lanka,9 wickets,Pallekele,2012/09/29,T20I # 280,84.8,71.6,75.47,78.4,3,0,3,0,100.0
England,New Zealand,England,6 wickets,Pallekele,2012/09/29,T20I # 279,78.6,72.87,72.4,71.6,3,1,3,0,80.0
Australia,India,Australia,9 wickets,Colombo (RPS),2012/09/28,T20I # 278,74.4,65.53,84.13,83.67,3,0,3,1,50.0
Pakistan,South Africa,Pakistan,2 wickets,Colombo (RPS),2012/09/28,T20I # 277,67.0,79.0,66.13,70.0,3,1,3,0,40.0
England,West Indies,West Indies,15 runs,Pallekele,2012/09/27,T20I # 276,79.47,73.33,73.2,78.87,3,1,3,0,37.5
Sri Lanka,New Zealand,tied,-,Pallekele,2012/09/27,T20I # 275,84.47,73.6,75.67,71.6,3,0,3,0,50.0
Bangladesh,Pakistan,Pakistan,8 wickets,Pallekele,2012/09/25,T20I # 274,91.2,68.47,83.13,67.2,3,0,3,1,0.0
Ireland,West Indies,no result,-,Colombo (RPS),2012/09/24,T20I # 273,87.87,71.8,79.73,81.0,2,0,3,0,0.0
England,India,India,90 runs,Colombo (RPS),2012/09/23,T20I # 272,77.33,65.67,73.13,84.27,3,1,3,1,75.0
New Zealand,Pakistan,Pakistan,13 runs,Pallekele,2012/09/23,T20I # 271,74.07,72.4,71.53,67.13,3,0,3,1,37.5
Australia,West Indies,Australia,17 runs,Colombo (RPS),2012/09/22,T20I # 270,73.8,71.93,85.07,80.47,3,0,3,0,57.14
Sri Lanka,South Africa,South Africa,32 runs,Hambantota,2012/09/22,T20I # 269,84.13,77.93,74.87,69.27,3,0,3,0,0.0
Afghanistan,England,England,116 runs,Colombo (RPS),2012/09/21,T20I # 268,95.0,78.73,97.67,74.6,1,0,3,1,0.0
Bangladesh,New Zealand,New Zealand,59 runs,Pallekele,2012/09/21,T20I # 267,91.0,73.47,83.27,72.8,3,0,3,0,0.0
South Africa,Zimbabwe,South Africa,10 wickets,Hambantota,2012/09/20,T20I # 266,78.33,86.2,71.4,85.93,3,0,2,0,100.0
Afghanistan,India,India,23 runs,Colombo (RPS),2012/09/19,T20I # 265,95.87,65.73,97.87,85.2,1,0,3,1,0.0
Australia,Ireland,Australia,7 wickets,Colombo (RPS),2012/09/19,T20I # 264,73.47,87.8,87.4,79.0,3,0,2,0,0.0
Sri Lanka,Zimbabwe,Sri Lanka,82 runs,Hambantota,2012/09/18,T20I # 263,84.13,86.07,75.33,86.27,3,0,2,0,100.0
India,Sri Lanka,Sri Lanka,6 wickets,Mirpur,2014/04/06,T20I # 400,70.2,75.0,77.67,71.73,4,1,4,0,60.0
India,South Africa,India,6 wickets,Mirpur,2014/04/04,T20I # 399,70.33,82.4,79.07,79.07,4,1,4,0,71.4
Sri Lanka,West Indies,Sri Lanka,27 runs,Mirpur,2014/04/03,T20I # 398,76.67,70.73,72.4,65.4,4,0,4,1,80.0
Pakistan,West Indies,West Indies,84 runs,Mirpur,2014/04/01,T20I # 397,71.53,71.33,69.87,67.27,4,1,4,1,66.6
Bangladesh,Australia,Australia,7 wickets,Mirpur,2014/04/01,T20I # 396,82.87,69.87,81.27,81.13,4,0,4,0,0.0
New Zealand,Sri Lanka,Sri Lanka,59 runs,Chattogram,2014/03/31,T20I # 395,79.4,76.67,79.4,74.47,4,0,4,0,41.66
England,Netherlands,Netherlands,45 runs,Chattogram,2014/03/31,T20I # 394,76.93,84.8,85.67,80.73,4,1,1,0,0.0
Australia,India,India,73 runs,Mirpur,2014/03/30,T20I # 393,69.8,71.07,81.67,82.67,4,0,4,1,50.0
Bangladesh,Pakistan,Pakistan,50 runs,Mirpur,2014/03/30,T20I # 392,83.0,72.53,82.33,71.0,4,0,4,1,0.0
England,South Africa,South Africa,3 runs,Chattogram,2014/03/29,T20I # 391,77.2,83.67,80.53,79.87,4,1,4,0,37.5
Netherlands,New Zealand,New Zealand,6 wickets,Chattogram,2014/03/29,T20I # 390,86.47,79.27,81.6,79.4,1,0,4,0,0.0
Bangladesh,India,India,8 wickets,Mirpur,2014/03/28,T20I # 389,83.93,70.07,84.0,85.4,4,0,4,1,0.0
Australia,West Indies,West Indies,6 wickets,Mirpur,2014/03/28,T20I # 388,70.53,72.07,83.2,68.07,4,0,4,1,50.0
England,Sri Lanka,England,6 wickets,Chattogram,2014/03/27,T20I # 387,77.27,76.73,81.53,68.4,4,1,4,0,25.0
Netherlands,South Africa,South Africa,6 runs,Chattogram,2014/03/27,T20I # 386,87.0,83.33,81.8,74.33,1,0,4,0,0.0
Bangladesh,West Indies,West Indies,73 runs,Mirpur,2014/03/25,T20I # 385,83.27,72.8,85.07,69.4,4,0,4,1,50.0
Netherlands,Sri Lanka,Sri Lanka,9 wickets,Chattogram,2014/03/24,T20I # 384,85.93,76.4,81.4,68.07,1,0,4,0,0.0
New Zealand,South Africa,South Africa,2 runs,Chattogram,2014/03/24,T20I # 383,79.8,83.6,80.87,75.07,4,0,4,0,27.27
India,West Indies,India,7 wickets,Mirpur,2014/03/23,T20I # 382,69.47,72.73,86.67,70.33,4,1,4,1,33.3
Australia,Pakistan,Pakistan,16 runs,Mirpur,2014/03/23,T20I # 381,71.67,72.2,80.67,72.27,4,0,4,1,36.36
England,New Zealand,New Zealand,9 runs,Chattogram,2014/03/22,T20I # 380,77.4,79.87,80.87,83.07,4,1,4,0,63.63
South Africa,Sri Lanka,Sri Lanka,5 runs,Chattogram,2014/03/22,T20I # 379,84.07,76.93,75.6,68.27,4,0,4,0,75.0
India,Pakistan,India,7 wickets,Mirpur,2014/03/21,T20I # 378,70.93,72.13,87.4,72.33,4,1,4,1,60.0
Ireland,Netherlands,Netherlands,6 wickets,Sylhet,2014/03/21,T20I # 377,85.8,88.27,79.8,82.47,3,0,1,0,66.6
UAE,Zimbabwe,Zimbabwe,5 wickets,Sylhet,2014/03/21,T20I # 376,101.0,83.47,101.0,93.73,0,0,3,0,0.0
Bangladesh,Hong Kong,Hong Kong,2 wickets,Chattogram,2014/03/20,T20I # 375,83.27,101.0,84.93,101.0,4,0,0,0,0.0
Afghanistan,Nepal,Nepal,9 runs,Chattogram,2014/03/20,T20I # 374,92.47,99.27,96.2,101.0,2,0,0,0,0.0
Ireland,UAE,Ireland,21 runs,Sylhet,2014/03/19,T20I # 373,85.6,101.0,80.4,101.0,3,0,0,0,0.0
Netherlands,Zimbabwe,Zimbabwe,5 wickets,Sylhet,2014/03/19,T20I # 372,89.0,84.53,83.8,93.67,1,0,3,0,0.0
Bangladesh,Nepal,Bangladesh,8 wickets,Chattogram,2014/03/18,T20I # 371,83.4,101.0,84.8,101.0,4,0,0,0,0.0
Afghanistan,Hong Kong,Afghanistan,7 wickets,Chattogram,2014/03/18,T20I # 370,92.07,101.0,95.67,101.0,2,0,0,0,0.0
Netherlands,UAE,Netherlands,6 wickets,Sylhet,2014/03/17,T20I # 369,91.33,101.0,84.13,101.0,1,0,0,0,0.0
Ireland,Zimbabwe,Ireland,3 wickets,Sylhet,2014/03/17,T20I # 368,86.33,85.47,80.67,93.4,3,0,3,0,100.0
Hong Kong,Nepal,Nepal,80 runs,Chattogram,2014/03/16,T20I # 367,101.0,101.0,101.0,101.0,0,0,0,0,0.0
Bangladesh,Afghanistan,Bangladesh,9 wickets,Mirpur,2014/03/16,T20I # 366,83.47,91.8,85.33,95.6,4,0,2,0,0.0
