Team1,Team2,Winner,Margin,Ground,Match Date,T-20 Int Match,Team1 Avg Batting Ranking,Team2 Avg Batting Ranking,Team1 Avg Bowling Ranking,Team2 Avg Bowling Ranking,Team1 Total WCs participated,Team1 Total WCs won,Team2 Total WCs participated,Team2 Total WCs won,Team1 win % over Team2
India,Scotland,India,8 wickets,Dubai (DICS),2021/11/05,T20I # 1396,84.67,87.07,86.67,87.73,6,1,3,0,100.0
Namibia,New Zealand,New Zealand,52 runs,Sharjah,2021/11/05,T20I # 1394,91.67,76.93,95.53,79.07,0,0,6,0,0.0
Sri Lanka,West Indies,Sri Lanka,20 runs,Abu Dhabi,2021/11/04,T20I # 1392,95.5,84.2,93.07,89.8,6,1,6,2,50.0
Australia,Bangladesh,Australia,8 wickets,Dubai (DICS),2021/11/04,T20I # 1391,83.83,85.67,77.67,83.87,6,0,6,0,55.55
Afghanistan,India,India,66 runs,Abu Dhabi,2021/11/03,T20I # 1390,85.07,84.33,83.87,86.67,4,0,6,1,0.0
New Zealand,Scotland,New Zealand,16 runs,Dubai (DICS),2021/11/03,T20I # 1388,76.73,86.67,79.33,87.53,6,0,3,0,100.0
Namibia,Pakistan,Pakistan,45 runs,Abu Dhabi,2021/11/02,T20I # 1386,93.13,81.13,95.6,87.67,0,0,6,1,0.0
Bangladesh,South Africa,South Africa,6 wickets,Abu Dhabi,2021/11/02,T20I # 1384,84.73,70.2,83.8,79.8,6,0,6,0,0.0
England,Sri Lanka,England,26 runs,Sharjah,2021/11/01,T20I # 1382,74.2,95.5,77.87,94.36,6,1,6,1,66.66
India,New Zealand,New Zealand,8 wickets,Dubai (DICS),2021/10/31,T20I # 1381,83.6,76.67,86.33,82.2,6,1,6,0,37.5
Afghanistan,Namibia,Afghanistan,62 runs,Abu Dhabi,2021/10/31,T20I # 1380,84.8,92.27,83.8,94.13,4,0,0,0,0.0
Australia,England,England,8 wickets,Dubai (DICS),2021/10/30,T20I # 1379,83.83,73.93,76.72,77.27,6,0,6,1,53.63
South Africa,Sri Lanka,South Africa,4 wickets,Sharjah,2021/10/30,T20I # 1378,72.33,95.86,81.93,94.21,6,0,6,1,62.5
Afghanistan,Pakistan,Pakistan,5 wickets,Dubai (DICS),2021/10/29,T20I # 1377,84.33,81.53,83.27,88.33,4,0,6,1,0.0
